TID,CH,EN,Flags
TID_BUTTON_UPGRADE,升级,,
TID_BUTTON_ATTACK,进攻,,
TID_BUTTON_SHOP,商店,,
TID_BUTTON_SELL,出售,,
TID_BUTTON_CANCEL,取消,,
TID_BUTTON_TRAIN,训练,,
TID_BUTTON_COLLECT,采集,,
TID_BUTTON_INFO,信息,,
TID_BUTTON_CLEAR,清除,,
TID_BUTTON_HOME,返回城市,,
TID_BUTTON_ACCEPT,接受,,
TID_BUTTON_REJECT,拒绝,,
TID_BUTTON_SEND,发送,,
TID_BUTTON_JOIN,加入,,
TID_BUTTON_OK,确定,,
TID_BUTTON_DIANJIANG,点将,,
TID_BUTTON_LIST,菜单,,
TID_WORKER_NUMBER,工匠数量,,
TID_PROTECT_TIME,免战时间,,
TID_TIME_DAYS,天,,
TID_TIME_HOURS,时,,
TID_TIME_MINS,分,,
TID_TIME_SECS,秒,,
TID_TIME_AGO,之前,,
TID_TASK_DONE,已完成,,
TID_TASK_ING,进行中,,
TID_UPGRADE_LEFT_TIME,剩余完成升级时间:,,
TID_BATTLE_TIME_TITLE_START,战斗开始:,,
TID_BATTLE_TIME_TITLE,战斗结束:,,
TID_OVERALL_DAMAGE,攻城进度,,
TID_AVAILABLE_LOOT ,可获得资源:,,
TID_VICTORY,胜利,,ImageText
TID_DEFEAT,失败,,ImageText
TID_TOTAL_DAMAGE,攻城进度:,,
TID_YOU_GOT,获得资源,,
TID_POPUP_HEADER_WARNING,警告!,,
TID_POPUP_UNDER_ATTACK,请稍等，战斗结束后将自动进入。,,
TID_POPUP_TRY_AGAIN,预计剩余时间:,,
TID_POPUP_RAID_TITLE,君主！我们被袭击了！,,ImageText
TID_POPUP_RAID_TITLE2,敌军偷袭!,,
TID_POPUP_RAID_TALK,君主外出的时候，城市被敌军无情的偷袭了!,,
TID_POPUP_RAID_SCORE,声望数量,,
TID_BUTTON_OKAY,确认,,
TID_POPUP_TRAIN_TITLE,训练 %d/%d,,
TID_INVALID_PLACEMENT_BUILDING,此位置已有建筑，请移至空地摆放,,
TID_INVALID_PLACEMENT,错误的位置，请点击空地处,,
TID_ALL_TROOPS_USED,兵力部署完毕,,
TID_OTHER_TROOP_LEFT,当前兵种已投放完，请投放其他兵种,,
TID_AWESOME,旗开得胜,,
TID_EXCELLENT,势如破竹,,
TID_PERFECT,大获全胜,,
TID_CHAT,聊天,,
TID_CHAT_WORLD,世\n界\n聊\n天,,
TID_CHAT_ALLIANCE,公\n会\n聊\n天,,
TID_CHAT_NO_CLAN,请先加入一个公会,,
TID_CHAT_LOCK,锁定,,
TID_CHAT_ROLL,滚动,,
TID_CHAT_VOICE_CANCLE,手指上滑，取消发送,,
TID_CHAT_VOICE_LIMIT,最多输入16秒,,
TID_CHAT_SHORTCUT_MESSAGE,消息,,
TID_CHAT_SHORTCUT_WORLD,世界,,
TID_CHAT_SHORTCUT_ALLIANCE,公会,,
TID_CHAT_SHORTCUT_CITY,同城,,
TID_CHAT_MIC_ACCESS,请开启麦克风访问权限,,
TID_DIAMONDS,宝石,,
TID_GOLD,金币,,
TID_FOOD,粮食,,
TID_WUHUN,石油,,
TID_BULLION,黄金,,
TID_GOLD_MAX,金币上限,,
TID_FOOD_MAX,粮食上限,,
TID_WUHUN_MAX,石油上限,,
TID_ITEM_LEVEL,%s(等级%d),,
TID_ITEM_LEVEL_NEW,%s(%s),,
TID_LEVEL,等级%d,,
TID_SHOP_TITLE,商店,,
TID_BATTLE_TITLE,战斗,,
TID_ITEM_BROKEN,%s(损坏),,
TID_BUILT_LIMIT,数量上限,,
TID_NOT_ENOUGH_WORKERS_HEADER,没有空闲的工匠,,
TID_NOT_ENOUGH_WORKERS_TEXT,是否让1个工匠提前完成修建?,,
TID_SELL_VERIFY_TITLE,是否确认?,,
TID_SELL_VERIFY_CONTENT,将%s出售并换取%d%s?,,
TID_NOT_ENOUGH_RESOURCE,你没有足够的%s,,
TID_TOWN_HALL_LEVEL_TOO_LOW,你需要升级城镇中心至%s级,,
TID_POPUP_ABOUT_TO_SELL_TITLE,出售,,
TID_POPUP_TEXT_ABOUT_TO_SELL,确定出售%s换取%d%s?,,
TID_POPUP_TEXT_BUY_RES,是否购买缺少的%d%s?,,
TID_POPUP_TEXT_BUY_RES_TITLE,资源不足,,
TID_POPUP_UPGRADE_TITLE,确定升级到%d级?,,
TID_POPUP_UPGRADE_TITLE_TOWNHALL,确定升级到%s级?,,
TID_POPUP_UPGRADE_BUILD_MORE,建造更多的:,,
TID_RESOURCE_CAP_FULL_GOLD,上限不足，请升级或建造更多的金币仓库,,
TID_RESOURCE_CAP_FULL_ELIXIR,上限不足，请升级或建造更多的粮食仓库,,
TID_RESOURCE_CAP_FULL_DARKELIXIR,上限不足，请升级或建造更多的炼油厂,,
TID_POPUP_FRIEND_LIST_TITLE,好友,,
TID_OBSTACLE_TOMBSTONE,巨石,,
TID_ATTACK_FAIL_NO_MATCHES,没有找到任何可攻击的城市!,,
TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK,无法进攻!当前城市正在被其他人攻击!,,
TID_ATTACK_FAIL_TARGET_ONLINE,无法进攻!当前城市主人在线!,,
TID_ATTACK_FAIL_SAME_ALLIANCE,无法进攻!当前城市和你是同一个公会!,,
TID_ATTACK_FAIL_SHIELD,无法进攻!当前城市有护盾保护!,,
TID_DEFAULT_VILLAGE_NAME,%s的城市,,
TID_BATTLE_LOG_TITLE,进攻记录,,
TID_NO_TROOPS,你需要先训练出你的军队,,
TID_ERROR_POP_UP_BANNED_TITLE,账号冻结,,
TID_ERROR_POP_UP_BANNED,你的账号已经被冻结了,,
TID_ERROR_POP_UP_BANNED_BUTTON,确定,,
TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE,连接错误,,
TID_ERROR_POP_UP_CONNECTION_FAILED,你无法连接到服务器，请检查网络。,,
TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON,重新连接,,
TID_ERROR_POP_UP_CONNECTION_LOST_TITLE,连接错误,,
TID_ERROR_POP_UP_CONNECTION_LOST,你断线啦，请点击重新连接。,,
TID_ERROR_POP_UP_CONNECTION_LOST_ALIPAY,你断线啦，请从支付宝钱包重新登录。,,
TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON,重新尝试,,
TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE,自动离线,,
TID_ERROR_POP_UP_AUTO_DISCONNECTED,长时间无操作自动离线，点击后重新加载,,
TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON,重新加载,,
TID_ERROR_POP_UP_LOGIN_FAILED_TITLE,登录失败,,
TID_ERROR_POP_UP_LOGIN_FAILED,请稍后再尝试,,
TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON,重新尝试,,
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE,无法更新,,
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION,好消息!发现了新版本!,,
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON,更新,,
TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE,注意,,
TID_ERROR_POP_UP_OUT_OF_SYNC,注意,,
TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON,重新加载,,
TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE,服务器维护,,
TID_ERROR_POP_UP_SERVER_MAINTENANCE,服务器维护中，请稍后再尝试,,
TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON,重新尝试,,
TID_ERROR_POP_UP_SERVER,与服务器的链接断开，请点击重新连接服务器。,,
TID_ERROR_SERVER1,当前服务器人数过多，请稍后再试。,,
TID_ERROR_SERVER2,您的账号已被限制登录，请%s后再尝试登录。,,
TID_ERROR_SERVER3,您的账号已被永久封停，详情请联系客服。,,
TID_BUILDING_ALLIANCE_FLAG,公会战旗,,
TID_SHOP_SHIELD_1D,护盾(1天),,
TID_SHOP_SHIELD_2D,护盾(2天),,
TID_SHOP_SHIELD_7D,护盾(7天),,
TID_ALLIANCE_MAIN_BUTTON,公会,,
TID_ALLIANCE_LIST_HEADER,公会,,
TID_CREATE_ALLIANCE_BUTTON,创建,,
TID_LEAVE_ALLIANCE_BUTTON,离开,,
TID_JOIN_ALLIANCE_TAB,加入公会,,
TID_CREATE_ALLIANCE_TAB,创建公会,,
TID_MY_ALLIANCE_TAB,我的公会,,
TID_ALLIANCE_BUTTON_EDIT,编辑,,
TID_ALLIANCE_CREATE_NAME,公会名称:,,
TID_ALLIANCE_CREATE_DESCRIPTION,公会介绍:,,
TID_ALLIANCE_CREATE_BADGE,公会战旗:,,
TID_ALLIANCE_CREATE_TYPE,公会类型:,,
TID_ALLIANCE_BADGE_BROWSE,浏览,,
TID_ALLIANCE_TYPE_OPEN,任何人可加入,,
TID_ALLIANCE_TYPE_INVITE_ONLY,只能被邀请,,
TID_ALLIANCE_TYPE_CLOSED,已关闭,,
TID_TOO_SHORT_ALLIANCE_NAME,公会名称太短,,
TID_BACK_BUTTON,返回,,
TID_CLEAR_BUTTON,清空所有,,
TID_ALLIANCE_SELECT_BADGE,选择公会战旗,,
TID_ALLIANCE_JOIN_BUTTON,加入,,
TID_ALLIANCE_JOIN_OK,加入公会[%s]成功,,
TID_ALLIANCE_CREATE_OK,创建公会[%s]成功,,
TID_ALLIANCE_BUTTON_LEAVE,离开,,
TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE,离开公会?,,
TID_ALLIANCE_LEAVE_CONFIRMATION,确定离开公会?,,
TID_ALLIANCE_ROLE_ADMIN,副会长,,
TID_ALLIANCE_ROLE_LEADER,会长,,
TID_ALLIANCE_ROLE_MEMBER,会员,,
TID_ALLIANCE_PROMOTE_BUTTON,提升职位,,
TID_ALLIANCE_DEMOTE_BUTTON,降低职位,,
TID_ALLIANCE_ACCEPTED_BY,已被%s接收入会,,
TID_ALLIANCE_REJECTED_BY,已被%s拒绝入会,,
TID_ALLIANCE_INVITATION_OK,发送邀请成功,,
TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE,发送邀请失败，对方没有修复公会城堡,,
TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE,发送邀请失败，对方已经在其它公会,,
TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE,发送邀请失败，重复发送,,
TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE,我希望加入贵公会,,
TID_ACCEPT_ALLIANCE_JOIN_REQUEST,接受邀请?,,
TID_KICK_OUT_FROM_ALLIANCE,踢出,,
TID_KICK_MEMBER_CONFIRMATION_TITLE,开除,,
TID_KICK_MEMBER_CONFIRMATION,确定将%s从公会开除?,,
TID_NOT_OPEN,敬请期待,,
TID_VISIT_BUTTON,访问,,
TID_INVITE_BUTTON,邀请入会,,
TID_VIEW_ALLIANCE,查看公会,,
TID_BUTTON_SAVE,保存,,
TID_SAVE_ALLIANCE_SETTINGS,公会信息保存成功,,
TID_ALLIANCE_NAME_REPEAT,公会名字重复,,
TID_ALLIANCE_CREATE_SUCCESS,公会创建成功,,
TID_ALLIANCE_NAME_TOOLONG,名字过长,,
TID_ALLIANCE_NAME_NULL,请填写公会名称,,
TID_STREAM_DONATE_TEXT,捐兵,,
TID_STREAM_DONATE_BUTTON,增援,,
TID_ALLIANCE_DONATE_HEADER,捐兵数量,,
TID_BUTTON_REQUEST_TROOPS,求捐兵,,
TID_BARBARIAN,步兵,,
TID_BARBARIAN1,轻步兵,,
TID_BARBARIAN2,重步兵,,
TID_BARBARIAN3,冲锋兵,,
TID_BARBARIAN4,燧发枪兵,,
TID_BARBARIAN5,电击步兵,,
TID_ARCHER,弓箭手,,
TID_ARCHER1,复合弓手,,
TID_ARCHER2,弓弩射手,,
TID_ARCHER3,火绳枪兵,,
TID_ARCHER4,滑膛枪手,,
TID_ARCHER5,步枪兵,,
TID_GIANT,骑士,,
TID_GIANT1,重装骑士,,
TID_GIANT2,精锐骑士,,
TID_GIANT3,骑士守卫,,
TID_GIANT4,轻骑兵,,
TID_GIANT5,圣夏蒙战车,,
TID_DRAGON,野马1型战机,,
TID_DRAGON1,野马2型战机,,
TID_DRAGON2,野马3型战机,,
TID_PEKKA,战车,,
TID_PEKKA1,重装甲车,,
TID_GOBLIN,骑马突击队,,
TID_GOBLIN1,骑兵突击队,,
TID_GOBLIN2,掠夺突击队,,
TID_GOBLIN3,龙骑兵突击队,,
TID_GOBLIN4,摩托突击队,,
TID_GOBLIN5,重装摩托突击队,,
TID_WALL_BREAKER,爆破手,,
TID_WALL_BREAKER1,破坏者,,
TID_WALL_BREAKER2,突击者,,
TID_WALL_BREAKER3,地雷工兵,,
TID_WALL_BREAKER4,土木工兵,,
TID_WALL_BREAKER5,工程师,,
TID_GOBLIN_BALLOON,热气球,,
TID_GOBLIN_BALLOON1,自由气球,,
TID_GOBLIN_BALLOON2,黑帆气球,,
TID_HEALER,供应马车,,
TID_HEALER1,补给车,,
TID_HEALER2,供应卡车,,
TID_WIZARD,火箭兵,,
TID_WIZARD1,迫击炮,,
TID_WIZARD11,火箭炮,,
TID_WIZARD2,火箭炮,,
TID_HealerFlyer,飞艇,,
TID_HealerFlyer1,自由飞艇,,
TID_MachineGunner,机枪手,,
TID_MachineGunner1,机关炮,,
TID_MachineGunner2,机枪手,,
TID_YUANFANG,速不台,,
TID_DIAOCHAN,埃及艳后,,
TID_LVBU,凯撒大帝,,
TID_BARBARIAN_INFO,"全部武装的部队，占用人口空间最小，多个部队可以有效的破坏建筑,对防御建筑有伤害加成。",,
TID_ARCHER_INFO,虽然他们对于建筑的伤害较小，但是他们对防御部队的杀伤是专业的，对守备军有伤害加成。,,
TID_GIANT_INFO,优先攻击防御建筑，吸引火力。让您的其他部队进行安全输出。,,
TID_DRAGON_INFO,发挥机械化部队快捷的优势，以突然袭击的方式取得制空权，摧毁敌方的有生力量。攻击高且有不俗的血量。,,
TID_PEKKA_INFO,装备火焰喷射器拥有厚重装甲的战车。可以有效的压制、消灭、摧毁敌人工事，歼灭敌方有生力量。,,
TID_GOBLIN_INFO,优先攻击资源建筑，并对它们造成两倍伤害。,,
TID_WALL_BREAKER_INFO,"专注爆破的技术宅,拥有专业的设备,可以对城墙造成非常巨大的伤害,在城墙上打开一个缺口,确保兵力进军。",,
TID_GOBLIN_BALLOON_INFO,优先破坏防御建筑的空中单位。由于满载着恐怖异常的炸弹，速度缓慢。,,
TID_HEALER_INFO,供应马车主动治疗我们负伤部队，使其抵御更久的攻击。,,
TID_HEALERFLYER_INFO,飞艇会主动治疗我们负伤部队，使其抵御更久的攻击。对某些部队有更好的治疗效果。,,
TID_WIZARD_INFO,训练有素的士兵装备高精度的火箭，可以造成区域范围伤害。,,
TID_YUANFANG_INFO,热兵器时代英雄，善使大斧，因与奥斯曼一战而闻名。,,
TID_DIAOCHAN_INFO,她才貌出众，聪颖机智，擅长手段，心怀叵测，一生富有戏剧性。,,
TID_LVBU_INFO,罗马共和国末期杰出的军事统帅、政治家，并且以其卓越的才能成为了罗马帝国的奠基者。,,
TID_HOUSING_TROOPS_INSIDE,当前军队部署。,,
TID_UNIT_STORAGE_CAPACITY,总人口容量:,,
TID_REGENERATION_TIME,修理时间:%d,,
TID_GARRISON_SOLDIER_TYPE,卫兵类型：,,
TID_GARRISON_SOLDIER_LEVEL,卫兵星级：,,
TID_GARRISON_CD,出兵时间：,,
TID_HITPOINTS,生命值:,,
TID_ATTACKPOINTS,每秒伤害:,,
TID_HEAL,治疗量:,,
TID_TRAIN_COST,训练消耗:,,
TID_RESOURCE_STORAGE_CAPACITY,资源容量:%d,,
TID_PRODUCTION_RATE,每小时生产量:,,
TID_PRODUCTION_CAPACITY,最大生产容量:%d,,
TID_UPGRADE_TIME,升级时间:,,
TID_BUILD_TIME,修建时间:%d%s,,
TID_UNLOCK_BUILDINGS,解锁建筑:%s,,
TID_REQUIRED_EXP_LEVEL,需达到%d级,,
TID_REQUIRED_TOWN_HALL_LEVEL,需%s,,
TID_REQUIRED_CASTLE_LEVEL,需公会%d级,,
TID_REQUIRED_BARRACK_LEVEL,需%d级兵营,,
TID_REQUIRED_DARKBARRACK_LEVEL,需%d级重型兵工厂,,
TID_REQUIRED_LABORATORY_LEVEL,需%d级军械库,,
TID_INFO_PREFERRED_TARGET,优先目标:,,
TID_PREFERRED_TARGET_ANY,任何,,
TID_PREFERRED_TARGET_DAMAGE_BONUS,(伤害X%.2f),,
TID_INFO_TARGET_TYPE,目标类型:,,
TID_INFO_DAMAGE_TYPE,伤害类型:,,
TID_INFO_HEAL_TYPE,治疗类型:,,
TID_INFO_HOUSING,单位人口:,,
TID_INFO_TRAINING_TIME,训练时间:,,
TID_INFO_RANGE,攻击范围:,,
TID_INFO_SPEED,移动速度:,,
TID_INFO_TARGET_TYPE_GROUND,地面,,
TID_INFO_TARGET_TYPE_GROUND_AND_AIR,地面&空中,,
TID_INFO_TARGET_TYPE_AIR,空中,,
TID_INFO_DAMAGE_TYPE_AOE,范围,,
TID_INFO_DAMAGE_TYPE_SINGLE,单体,,
TID_INFO_RANGE_VALUE,%d格,,
TID_SKILL_NEXT_LEVEL,下一级效果（英雄%d级时学到）:,,
TID_SKILL1_1,激励号角,,
TID_SKILL1_2,2级激励号角 (进攻时释放),,
TID_SKILL1_3,3级激励号角 (进攻时释放),,
TID_SKILL1_4,4级激励号角 (进攻时释放),,
TID_INFO_SKILL1_1,提高攻速和攻击力20%，持续6秒，冷却时间60秒,,
TID_INFO_SKILL1_2,提高攻速和攻击力30%，持续6秒，冷却时间60秒,,
TID_INFO_SKILL1_3,提高攻速和攻击力40%，持续6秒，冷却时间60秒,,
TID_INFO_SKILL1_4,提高攻速和攻击力50%，持续6秒，冷却时间60秒,,
TID_SKILL2_1,固若金汤,,
TID_SKILL2_2,2级固若金汤 (防御时释放),,
TID_SKILL2_3,3级固若金汤 (防御时释放),,
TID_SKILL2_4,4级固若金汤 (防御时释放),,
TID_INFO_SKILL2_1,当生命低于50%时释放保护盾，最多抵挡50点伤害，冷却时间60秒,,
TID_INFO_SKILL2_2,被攻击时触发一个保护罩，最多抵挡100点伤害，冷却时间60秒,,
TID_INFO_SKILL2_3,被攻击时触发一个保护罩，最多抵挡150点伤害，冷却时间60秒,,
TID_INFO_SKILL2_4,被攻击时触发一个保护罩，最多抵挡250点伤害，冷却时间60秒,,
TID_SKILL3_1,连战,,
TID_SKILL3_2,2级石中剑 (进攻时释放),,
TID_SKILL3_3,3级石中剑 (进攻时释放),,
TID_SKILL3_4,4级石中剑 (进攻时释放),,
TID_INFO_SKILL3_1,以自身为中心5格范围内，对所有敌人造成180%的伤害。,,
TID_INFO_SKILL3_2,使用带有烈焰气息的霸气方天戟横扫八方，对7格范围内的敌方单位造成60点伤害，并持续燃烧，冷却时间60秒,,
TID_INFO_SKILL3_3,使用带有烈焰气息的霸气方天戟横扫八方，对8格范围内的敌方单位造成120点伤害，并持续燃烧，冷却时间60秒,,
TID_INFO_SKILL3_4,使用带有烈焰气息的霸气方天戟横扫八方，对8格范围内的敌方单位造成180点伤害，并持续燃烧，冷却时间60秒,,
TID_SKILL4_1,1级战魂旋风斩 (防御时释放),,
TID_SKILL4_2,2级战魂旋风斩 (防御时释放),,
TID_SKILL4_3,3级战魂旋风斩 (防御时释放),,
TID_SKILL4_4,4级战魂旋风斩 (防御时释放),,
TID_INFO_SKILL4_1,在3格范围内，如果敌军单位超过5个发动，对范围内敌军单位造成30点伤害，冷却时间60秒,,
TID_INFO_SKILL4_2,在3.5格范围内，如果敌军单位超过5个发动，对范围内敌军单位造成60点伤害，冷却时间60秒,,
TID_INFO_SKILL4_3,在4格范围内，如果敌军单位超过5个发动，对范围内敌军单位造成90点伤害，冷却时间60秒,,
TID_INFO_SKILL4_4,在4.5格范围内，如果敌军单位超过5个发动，对范围内敌军单位造成120点伤害，冷却时间60秒,,
TID_SKILL5_1,机略,,
TID_SKILL5_2,2级倾国倾城 (进攻时释放),,
TID_SKILL5_3,3级倾国倾城 (进攻时释放),,
TID_SKILL5_4,4级倾国倾城 (进攻时释放),,
TID_INFO_SKILL5_1,让自身半径10格范围内1个防御建筑单位失效6秒。,,
TID_INFO_SKILL5_2,魅惑20格内随机一个防御建筑，让其失去攻击能力，持续4.5秒，冷却时间90秒,,
TID_INFO_SKILL5_3,魅惑20格内随机一个防御建筑，让其失去攻击能力，持续6秒，冷却时间90秒,,
TID_INFO_SKILL5_4,魅惑20格内随机一个防御建筑，让其失去攻击能力，持续7.5秒，冷却时间90秒,,
TID_SKILL6_1,恢复,,
TID_SKILL6_2,2级怜香惜玉 (防御时释放),,
TID_SKILL6_3,3级怜香惜玉 (防御时释放),,
TID_SKILL6_4,4级怜香惜玉 (防御时释放),,
TID_INFO_SKILL6_1,当自身血量少于50%时，回复100点生命。,,
TID_INFO_SKILL6_2,血量低于50%时触发，全场所有的敌军单位将不会攻击自己，且自身每秒回血50点，持续3秒，冷却时间90秒,,
TID_INFO_SKILL6_3,血量低于50%时触发，全场所有的敌军单位将不会攻击自己，且自身每秒回血80点，持续3秒，冷却时间90秒,,
TID_INFO_SKILL6_4,血量低于50%时触发，全场所有的敌军单位将不会攻击自己，且自身每秒回血110点，持续3秒，冷却时间90秒,,
